datetime,x_hz,y_dbm
2024-08-22 10:37:02.247237,107296650.73,-81.6986160278
2024-08-22 10:37:03.250190,107296650.73,-76.5179138184
2024-08-22 10:37:04.254117,107296650.73,-73.9512405396
2024-08-22 10:37:05.258497,107296650.73,-74.2928619385
2024-08-22 10:37:06.262720,107296650.73,-76.7773284912
2024-08-22 10:37:07.266517,107296650.73,-78.8360061646
2024-08-22 10:37:08.270708,107296651.45,-82.9706268311
2024-08-22 10:37:09.274839,107296650.73,-76.2704315186
2024-08-22 10:37:10.279036,107296650.73,-74.594543457
2024-08-22 10:37:11.283044,107296650.73,-76.6416244507
2024-08-22 10:37:12.285878,107296650.73,-83.6342086792
2024-08-22 10:37:13.290044,107296650.73,-78.9419784546
2024-08-22 10:37:14.294073,107296650.73,-73.3627243042
2024-08-22 10:37:15.298178,107296650.73,-74.4929885864
2024-08-22 10:37:16.302202,107296651.45,-77.3320083618
2024-08-22 10:37:17.306153,107296650.73,-81.797454834
2024-08-22 10:37:18.310231,107296650.73,-81.8699493408
2024-08-22 10:37:19.314226,107296650.73,-75.8911132813
2024-08-22 10:37:20.318304,107296650.73,-80.2708129883
2024-08-22 10:37:21.322334,107296650.73,-79.069984436
2024-08-22 10:37:22.326353,107296650.73,-78.6053314209
2024-08-22 10:37:23.330340,107296650.73,-79.217300415
2024-08-22 10:37:24.334328,107296650.73,-76.0426940918
2024-08-22 10:37:25.338455,107296650.73,-78.6885070801
2024-08-22 10:37:26.342572,107296650.73,-79.5015792847
2024-08-22 10:37:27.346581,107296650.73,-76.9801864624
2024-08-22 10:37:28.350665,107296651.45,-85.5680847168
2024-08-22 10:37:29.354638,107296650.73,-86.5747299194
2024-08-22 10:37:30.358645,107296650.73,-79.1071395874
2024-08-22 10:37:31.362621,107296650.73,-75.4330368042
2024-08-22 10:37:32.366605,107296650.73,-76.0090637207
2024-08-22 10:37:33.370733,107296650.73,-80.0791931152
2024-08-22 10:37:34.374779,107296650.73,-75.9129486084
2024-08-22 10:37:35.378829,107296650.73,-77.0293502808
2024-08-22 10:37:36.382781,107296650.73,-80.633972168
2024-08-22 10:37:37.386769,107296650.73,-82.1296463013
2024-08-22 10:37:38.390881,107296650.73,-80.2618865967
2024-08-22 10:37:39.394898,107296650.73,-75.9117736816
2024-08-22 10:37:40.398952,107296650.73,-74.3357849121
2024-08-22 10:37:41.402925,107296650.73,-75.350730896
2024-08-22 10:37:42.406904,107296650.73,-78.5434188843
2024-08-22 10:37:43.410929,107296650.73,-86.9185256958
2024-08-22 10:37:44.414977,107296650.73,-81.2041244507
2024-08-22 10:37:45.419020,107296650.73,-81.8824081421
2024-08-22 10:37:46.423077,107296650.73,-78.2958679199
2024-08-22 10:37:47.427041,107296650.73,-79.6849899292
2024-08-22 10:37:48.431043,107296650.73,-79.5475845337
2024-08-22 10:37:49.435040,107296650.73,-83.1727905273
2024-08-22 10:37:50.439159,107296650.73,-78.5894088745
2024-08-22 10:37:51.443175,107296650.73,-77.8608093262
2024-08-22 10:37:52.447167,107296650.73,-79.7982635498
2024-08-22 10:37:53.451160,107296650.73,-87.8683700562
2024-08-22 10:37:54.455164,107296650.73,-79.4230957031
2024-08-22 10:37:55.459207,107296650.73,-79.1713180542
