evt,year,month,day,hour,minute,second,evlat,evlon,evdep,evmag,time_shift,half_duration,m_rr,m_tt,m_pp,m_rt,m_rp,m_tp
C202101231658A,2021,1,23,16,58,52,-6.47,147.68,35.9,5.65,0,1.6,3.16e+17,-3.07e+17,-8499999999999999.0,1.4399999999999998e+17,-8.33e+16,1.41e+17
C202101232336A,2021,1,23,23,36,50,-61.88,-55.35,12.0,6.91,0,7.0,-2.32e+19,6.16e+18,1.7e+19,7.279999999999999e+18,-2.51e+18,2.03e+19
C202101240547A,2021,1,24,5,47,53,-51.15,161.67,12.0,5.75,0,1.8,4.43e+17,1000000000000000.0,-4.44e+17,-1.39e+17,-3.35e+16,-2.66e+17
C202101241214A,2021,1,24,12,14,45,-61.78,-55.16,12.0,5.45,0,1.3,-7.41e+16,-5.82e+16,1.32e+17,6.19e+16,-4.17e+16,1.3099999999999998e+17
C202101291241A,2021,1,29,12,41,39,8.09,-82.92,12.0,5.65,0,1.6,3.26e+17,-2.11e+17,-1.1499999999999998e+17,9.92e+16,-5.079999999999999e+16,2.33e+17
C202101291314A,2021,1,29,13,14,44,8.12,-82.92,12.0,5.51,0,1.4,2e+17,-1.2199999999999998e+17,-7.829999999999998e+16,4.759999999999999e+16,-1.1099999999999998e+16,1.4499999999999997e+17
C202101291947A,2021,1,29,19,47,55,-13.84,121.82,22.5,5.68,0,1.7,5300000000000000.0,4.06e+17,-4.1099999999999994e+17,4.49e+16,3.53e+16,-8.03e+16
C202101311905A,2021,1,31,19,5,15,2.73,-59.47,12.0,5.6,0,1.5,3.21e+17,-1.91e+17,-1.2999999999999998e+17,7.51e+16,3.1899999999999996e+16,1.2899999999999998e+17
C202102022049A,2021,2,2,20,49,27,-16.28,177.93,12.0,5.71,0,1.7,-3.4099999999999994e+17,-7.43e+16,4.1599999999999994e+17,-7.05e+16,1.16e+17,2.39e+17
C202102022358A,2021,2,2,23,58,34,-22.88,171.79,19.0,5.78,0,1.9,5.09e+17,-5.4799999999999994e+17,3.95e+16,2.6699999999999997e+17,-2.26e+16,3.78e+16
C202102030005A,2021,2,3,0,5,33,-22.95,171.78,21.9,5.55,0,1.4,2.5499999999999997e+17,-2.43e+17,-1.26e+16,8.119999999999998e+16,1.6799999999999998e+16,2.05e+16
C202102030042A,2021,2,3,0,42,17,-22.91,171.76,13.6,5.57,0,1.5,2.43e+17,-2.71e+17,2.82e+16,1.12e+17,-1.7699999999999998e+16,2.66e+16
C202102030523A,2021,2,3,5,23,44,-36.38,-98.63,18.1,6.59,0,4.8,-1.09e+18,-7.41e+17,1.8299999999999997e+18,1.1499999999999999e+18,-2.4e+18,-9.25e+18
C202102040814A,2021,2,4,8,14,3,21.52,121.85,19.2,5.5,0,1.4,-3.29e+16,1.89e+17,-1.56e+17,5.97e+16,3.04e+16,-1.21e+17
C202102041214A,2021,2,4,12,14,27,-22.86,171.84,20.7,5.73,0,1.8,4.13e+17,-4.27e+17,1.39e+16,2.49e+17,-2.08e+16,4600000000000000.0
C202102070422A,2021,2,7,4,22,56,6.79,125.1,24.5,6.1,0,2.7,-1.61e+17,1.64e+18,-1.47e+18,-5.3e+16,7.36e+17,3.66e+17
C202102070545A,2021,2,7,5,45,52,-3.4,146.08,12.0,6.33,0,3.6,-2.57e+17,8.25e+17,-5.68e+17,4.0199999999999994e+17,-1.68e+17,3.82e+18
C202102080000A,2021,2,8,0,0,42,5.73,127.02,41.8,5.7,0,1.7,7.81e+16,1.75e+17,-2.5299999999999997e+17,-1.21e+17,1.2e+17,3.65e+17
B202102080806A,2021,2,8,8,6,19,-30.08,-179.36,346.6,5.56,0,1.5,-1.39e+17,-1.06e+17,2.45e+17,-1.3699999999999998e+17,100000000000000.0,1.1e+17
C202102090255A,2021,2,9,2,55,46,-5.34,151.69,64.3,5.62,0,1.6,3.17e+17,-3.26e+17,8999999999999999.0,400000000000000.0,-8999999999999999.0,-1.26e+17
C202102100822A,2021,2,10,8,22,31,-13.5,-111.28,12.7,5.61,0,1.6,-1.96e+16,1.2899999999999998e+17,-1.09e+17,-6.52e+16,3.79e+16,3.01e+17
C202102101224A,2021,2,10,12,24,21,-22.95,171.63,13.1,6.0,0,2.4,1.01e+18,-1.14e+18,1.34e+17,6.46e+17,-4.3e+16,1.8999999999999996e+16
C202102101232A,2021,2,10,12,32,11,-22.96,171.55,20.4,5.75,0,1.8,5.0999999999999994e+17,-4.63e+17,-4.71e+16,2.18e+17,-4999999999999999.0,5.71e+16
C202102101252A,2021,2,10,12,52,27,-5.81,101.7,12.0,6.23,0,3.2,2.14e+18,-1.61e+18,-5.3299999999999994e+17,1.0199999999999999e+18,3.16e+17,1.68e+18
C202102101302A,2021,2,10,13,2,0,-23.04,171.65,18.2,6.19,0,3.0,2.0499999999999997e+18,-2.0399999999999997e+18,-1.5e+16,1.18e+18,3.6699999999999994e+17,8.9e+16
C202102101319A,2021,2,10,13,20,0,-22.96,171.59,21.8,7.67,0,16.7,2.92e+20,-2.81e+20,-1.18e+19,2.79e+20,2.9899999999999996e+19,1.59e+19
S202102101635A,2021,2,10,16,35,23,-22.97,171.35,31.1,6.45,0,4.1,6.569999999999999e+18,-4.1799999999999995e+18,-2.39e+18,1.8299999999999997e+18,9.54e+17,1.13e+18
C202102101836A,2021,2,10,18,36,41,-22.84,171.2,22.2,6.28,0,3.3,2.91e+18,-2.23e+18,-6.81e+17,1.23e+18,-6.47e+17,1.33e+18
S202102102045A,2021,2,10,20,45,14,-22.83,171.14,30.3,5.85,0,2.1,7.35e+17,-5.64e+17,-1.71e+17,2.7899999999999997e+17,-6.499999999999999e+16,1.92e+17
C202102102123A,2021,2,10,21,23,59,-23.27,171.46,12.4,6.37,0,3.8,-4.31e+18,4.65e+18,-3.36e+17,3.799999999999999e+16,1.98e+17,1e+18
S202102102140A,2021,2,10,21,40,35,-23.35,171.34,21.4,5.76,0,1.9,-5.77e+17,4.78e+17,9.929999999999998e+16,-7.11e+16,8.14e+16,8.48e+16
C202102102326A,2021,2,10,23,26,27,-23.18,171.91,12.7,5.43,0,1.3,4800000000000000.0,1.4399999999999998e+17,-1.49e+17,-5500000000000000.0,-2.4e+16,9.1e+16
